respID,qID,altID,obsID,profileID,price,trip_time,wait_time,shared_ride,human_present
8,6,5,62,6,7,25,5,yes,yes
8,7,1,63,32,5,25,5,no,yes
8,7,2,63,42,7,25,7,no,yes
8,7,3,63,48,7,20,9,no,yes
8,7,4,63,20,5,20,9,yes,yes
8,7,5,63,96,7,25,7,no,no
8,8,1,64,16,3,30,7,yes,yes
8,8,2,64,13,3,25,7,yes,yes
8,8,3,64,72,7,30,7,yes,no
8,8,4,64,64,3,20,7,yes,no
8,8,5,64,44,5,30,7,no,yes
9,1,1,65,23,5,25,9,yes,yes
9,1,2,65,20,5,20,9,yes,yes
9,1,3,65,34,3,30,5,no,yes
9,1,4,65,57,7,20,5,yes,no
9,1,5,65,11,5,20,7,yes,yes
9,2,1,66,8,5,30,5,yes,yes
9,2,2,66,20,5,20,9,yes,yes
9,2,3,66,86,5,25,5,no,no
9,2,4,66,19,3,20,9,yes,yes
9,2,5,66,38,5,20,7,no,yes
9,3,1,67,6,7,25,5,yes,yes
9,3,2,67,51,7,25,9,no,yes
9,3,3,67,40,3,25,7,no,yes
9,3,4,67,52,3,30,9,no,yes
9,3,5,67,53,5,30,9,no,yes
9,4,1,68,82,3,20,5,no,no
9,4,2,68,100,3,20,9,no,no
9,4,3,68,64,3,20,7,yes,no
9,4,4,68,1,3,20,5,yes,yes
9,4,5,68,14,5,25,7,yes,yes
9,5,1,69,94,3,25,7,no,no
9,5,2,69,19,3,20,9,yes,yes
9,5,3,69,18,7,30,7,yes,yes
9,5,4,69,104,5,25,9,no,no
9,5,5,69,97,3,30,7,no,no
9,6,1,70,88,3,30,5,no,no
9,6,2,70,35,5,30,5,no,yes
9,6,3,70,91,3,20,7,no,no
9,6,4,70,38,5,20,7,no,yes
9,6,5,70,42,7,25,7,no,yes
9,7,1,71,82,3,20,5,no,no
9,7,2,71,25,3,30,9,yes,yes
9,7,3,71,87,7,25,5,no,no
9,7,4,71,5,5,25,5,yes,yes
9,7,5,71,26,5,30,9,yes,yes
9,8,1,72,76,3,25,9,yes,no
9,8,2,72,108,7,30,9,no,no
9,8,3,72,82,3,20,5,no,no
9,8,4,72,56,5,20,5,yes,no
9,8,5,72,53,5,30,9,no,yes
10,1,1,73,45,7,30,7,no,yes
10,1,2,73,65,5,20,7,yes,no
10,1,3,73,84,7,20,5,no,no
10,1,4,73,66,7,20,7,yes,no
10,1,5,73,34,3,30,5,no,yes
10,2,1,74,61,3,30,5,yes,no
10,2,2,74,88,3,30,5,no,no
10,2,3,74,56,5,20,5,yes,no
10,2,4,74,25,3,30,9,yes,yes
10,2,5,74,66,7,20,7,yes,no
10,3,1,75,32,5,25,5,no,yes
10,3,2,75,26,5,30,9,yes,yes
10,3,3,75,62,5,30,5,yes,no
10,3,4,75,98,5,30,7,no,no
10,3,5,75,29,5,20,5,no,yes
10,4,1,76,48,7,20,9,no,yes
10,4,2,76,4,3,25,5,yes,yes
10,4,3,76,61,3,30,5,yes,no
10,4,4,76,22,3,25,9,yes,yes
10,4,5,76,107,5,30,9,no,no
10,5,1,77,51,7,25,9,no,yes
10,5,2,77,45,7,30,7,no,yes
10,5,3,77,13,3,25,7,yes,yes
10,5,4,77,48,7,20,9,no,yes
10,5,5,77,37,3,20,7,no,yes
10,6,1,78,56,5,20,5,yes,no
10,6,2,78,81,7,30,9,yes,no
10,6,3,78,30,7,20,5,no,yes
10,6,4,78,8,5,30,5,yes,yes
10,6,5,78,97,3,30,7,no,no
10,7,1,79,16,3,30,7,yes,yes
10,7,2,79,7,3,30,5,yes,yes
10,7,3,79,83,5,20,5,no,no
10,7,4,79,100,3,20,9,no,no
10,7,5,79,27,7,30,9,yes,yes
10,8,1,80,95,5,25,7,no,no
10,8,2,80,97,3,30,7,no,no
10,8,3,80,11,5,20,7,yes,yes
10,8,4,80,24,7,25,9,yes,yes
10,8,5,80,50,5,25,9,no,yes
11,1,1,81,92,5,20,7,no,no
11,1,2,81,2,5,20,5,yes,yes
11,1,3,81,57,7,20,5,yes,no
11,1,4,81,1,3,20,5,yes,yes
11,1,5,81,30,7,20,5,no,yes
11,2,1,82,10,3,20,7,yes,yes
11,2,2,82,36,7,30,5,no,yes
11,2,3,82,97,3,30,7,no,no
11,2,4,82,31,3,25,5,no,yes
11,2,5,82,3,7,20,5,yes,yes
11,3,1,83,70,3,30,7,yes,no
11,3,2,83,58,3,25,5,yes,no
11,3,3,83,34,3,30,5,no,yes
11,3,4,83,16,3,30,7,yes,yes
11,3,5,83,41,5,25,7,no,yes
11,4,1,84,12,7,20,7,yes,yes
11,4,2,84,60,7,25,5,yes,no
11,4,3,84,105,7,25,9,no,no
11,4,4,84,76,3,25,9,yes,no
11,4,5,84,49,3,25,9,no,yes
11,5,1,85,106,3,30,9,no,no
11,5,2,85,53,5,30,9,no,yes
11,5,3,85,92,5,20,7,no,no
11,5,4,85,56,5,20,5,yes,no
11,5,5,85,51,7,25,9,no,yes
11,6,1,86,70,3,30,7,yes,no
11,6,2,86,79,3,30,9,yes,no
11,6,3,86,62,5,30,5,yes,no
11,6,4,86,98,5,30,7,no,no
11,6,5,86,65,5,20,7,yes,no
11,7,1,87,42,7,25,7,no,yes
11,7,2,87,6,7,25,5,yes,yes
11,7,3,87,9,7,30,5,yes,yes
11,7,4,87,12,7,20,7,yes,yes
11,7,5,87,72,7,30,7,yes,no
11,8,1,88,72,7,30,7,yes,no
11,8,2,88,28,3,20,5,no,yes
11,8,3,88,82,3,20,5,no,no
11,8,4,88,14,5,25,7,yes,yes
11,8,5,88,12,7,20,7,yes,yes
12,1,1,89,35,5,30,5,no,yes
12,1,2,89,103,3,25,9,no,no
12,1,3,89,86,5,25,5,no,no
12,1,4,89,63,7,30,5,yes,no
12,1,5,89,69,7,25,7,yes,no
12,2,1,90,85,3,25,5,no,no
12,2,2,90,23,5,25,9,yes,yes
12,2,3,90,26,5,30,9,yes,yes
12,2,4,90,108,7,30,9,no,no
12,2,5,90,45,7,30,7,no,yes
12,3,1,91,2,5,20,5,yes,yes
12,3,2,91,6,7,25,5,yes,yes
12,3,3,91,46,3,20,9,no,yes
12,3,4,91,86,5,25,5,no,no
12,3,5,91,59,5,25,5,yes,no
12,4,1,92,54,7,30,9,no,yes
12,4,2,92,15,7,25,7,yes,yes
12,4,3,92,44,5,30,7,no,yes
12,4,4,92,80,5,30,9,yes,no
12,4,5,92,7,3,30,5,yes,yes
12,5,1,93,56,5,20,5,yes,no
12,5,2,93,46,3,20,9,no,yes
12,5,3,93,94,3,25,7,no,no
12,5,4,93,18,7,30,7,yes,yes
12,5,5,93,15,7,25,7,yes,yes
12,6,1,94,80,5,30,9,yes,no
12,6,2,94,60,7,25,5,yes,no
12,6,3,94,10,3,20,7,yes,yes
12,6,4,94,78,7,25,9,yes,no
12,6,5,94,93,7,20,7,no,no
12,7,1,95,102,7,20,9,no,no
12,7,2,95,96,7,25,7,no,no
12,7,3,95,1,3,20,5,yes,yes
12,7,4,95,13,3,25,7,yes,yes
12,7,5,95,83,5,20,5,no,no
12,8,1,96,54,7,30,9,no,yes
12,8,2,96,84,7,20,5,no,no
12,8,3,96,86,5,25,5,no,no
12,8,4,96,76,3,25,9,yes,no
12,8,5,96,11,5,20,7,yes,yes
13,1,1,97,65,5,20,7,yes,no
13,1,2,97,51,7,25,9,no,yes
13,1,3,97,106,3,30,9,no,no
13,1,4,97,27,7,30,9,yes,yes
13,1,5,97,1,3,20,5,yes,yes
13,2,1,98,53,5,30,9,no,yes
13,2,2,98,37,3,20,7,no,yes
13,2,3,98,41,5,25,7,no,yes
13,2,4,98,43,3,30,7,no,yes
13,2,5,98,79,3,30,9,yes,no
13,3,1,99,51,7,25,9,no,yes
13,3,2,99,96,7,25,7,no,no
13,3,3,99,28,3,20,5,no,yes
13,3,4,99,10,3,20,7,yes,yes
13,3,5,99,5,5,25,5,yes,yes
13,4,1,100,72,7,30,7,yes,no
13,4,2,100,19,3,20,9,yes,yes
13,4,3,100,93,7,20,7,no,no
13,4,4,100,66,7,20,7,yes,no
13,4,5,100,86,5,25,5,no,no
13,5,1,101,85,3,25,5,no,no
13,5,2,101,67,3,25,7,yes,no
13,5,3,101,81,7,30,9,yes,no
13,5,4,101,59,5,25,5,yes,no
13,5,5,101,23,5,25,9,yes,yes
13,6,1,102,9,7,30,5,yes,yes
13,6,2,102,12,7,20,7,yes,yes
13,6,3,102,83,5,20,5,no,no
13,6,4,102,59,5,25,5,yes,no
13,6,5,102,82,3,20,5,no,no
13,7,1,103,93,7,20,7,no,no
13,7,2,103,40,3,25,7,no,yes
13,7,3,103,31,3,25,5,no,yes
13,7,4,103,86,5,25,5,no,no
13,7,5,103,2,5,20,5,yes,yes
13,8,1,104,51,7,25,9,no,yes
13,8,2,104,56,5,20,5,yes,no
13,8,3,104,43,3,30,7,no,yes
13,8,4,104,2,5,20,5,yes,yes
13,8,5,104,70,3,30,7,yes,no
14,1,1,105,77,5,25,9,yes,no
14,1,2,105,93,7,20,7,no,no
14,1,3,105,79,3,30,9,yes,no
14,1,4,105,30,7,20,5,no,yes
14,1,5,105,22,3,25,9,yes,yes
14,2,1,106,25,3,30,9,yes,yes
14,2,2,106,49,3,25,9,no,yes
14,2,3,106,83,5,20,5,no,no
14,2,4,106,85,3,25,5,no,no
14,2,5,106,84,7,20,5,no,no
14,3,1,107,32,5,25,5,no,yes
14,3,2,107,40,3,25,7,no,yes
14,3,3,107,84,7,20,5,no,no
14,3,4,107,80,5,30,9,yes,no
14,3,5,107,86,5,25,5,no,no
14,4,1,108,25,3,30,9,yes,yes
14,4,2,108,55,3,20,5,yes,no
14,4,3,108,68,5,25,7,yes,no
14,4,4,108,85,3,25,5,no,no
14,4,5,108,75,7,20,9,yes,no
14,5,1,109,1,3,20,5,yes,yes
14,5,2,109,28,3,20,5,no,yes
14,5,3,109,7,3,30,5,yes,yes
14,5,4,109,53,5,30,9,no,yes
14,5,5,109,73,3,20,9,yes,no
14,6,1,110,28,3,20,5,no,yes
14,6,2,110,87,7,25,5,no,no
14,6,3,110,26,5,30,9,yes,yes
14,6,4,110,13,3,25,7,yes,yes
14,6,5,110,82,3,20,5,no,no
14,7,1,111,93,7,20,7,no,no
14,7,2,111,52,3,30,9,no,yes
14,7,3,111,98,5,30,7,no,no
14,7,4,111,45,7,30,7,no,yes
14,7,5,111,48,7,20,9,no,yes
14,8,1,112,80,5,30,9,yes,no
14,8,2,112,1,3,20,5,yes,yes
14,8,3,112,46,3,20,9,no,yes
14,8,4,112,9,7,30,5,yes,yes
14,8,5,112,74,5,20,9,yes,no
15,1,1,113,97,3,30,7,no,no
15,1,2,113,64,3,20,7,yes,no
15,1,3,113,69,7,25,7,yes,no
15,1,4,113,67,3,25,7,yes,no
15,1,5,113,71,5,30,7,yes,no
15,2,1,114,60,7,25,5,yes,no
15,2,2,114,101,5,20,9,no,no
15,2,3,114,18,7,30,7,yes,yes
15,2,4,114,68,5,25,7,yes,no
15,2,5,114,20,5,20,9,yes,yes
15,3,1,115,96,7,25,7,no,no
15,3,2,115,20,5,20,9,yes,yes
15,3,3,115,97,3,30,7,no,no
15,3,4,115,43,3,30,7,no,yes
15,3,5,115,71,5,30,7,yes,no
15,4,1,116,79,3,30,9,yes,no
15,4,2,116,71,5,30,7,yes,no
15,4,3,116,72,7,30,7,yes,no
15,4,4,116,64,3,20,7,yes,no
15,4,5,116,93,7,20,7,no,no
15,5,1,117,63,7,30,5,yes,no
15,5,2,117,102,7,20,9,no,no
15,5,3,117,90,7,30,5,no,no
15,5,4,117,75,7,20,9,yes,no
15,5,5,117,91,3,20,7,no,no
15,6,1,118,12,7,20,7,yes,yes
15,6,2,118,40,3,25,7,no,yes
15,6,3,118,81,7,30,9,yes,no
15,6,4,118,105,7,25,9,no,no
15,6,5,118,25,3,30,9,yes,yes
15,7,1,119,36,7,30,5,no,yes
15,7,2,119,1,3,20,5,yes,yes
15,7,3,119,46,3,20,9,no,yes
15,7,4,119,15,7,25,7,yes,yes
15,7,5,119,5,5,25,5,yes,yes
15,8,1,120,35,5,30,5,no,yes
15,8,2,120,16,3,30,7,yes,yes
15,8,3,120,40,3,25,7,no,yes
15,8,4,120,103,3,25,9,no,no
15,8,5,120,79,3,30,9,yes,no
16,1,1,121,41,5,25,7,no,yes
16,1,2,121,97,3,30,7,no,no
16,1,3,121,24,7,25,9,yes,yes
16,1,4,121,85,3,25,5,no,no
16,1,5,121,102,7,20,9,no,no
16,2,1,122,79,3,30,9,yes,no
16,2,2,122,4,3,25,5,yes,yes
16,2,3,122,47,5,20,9,no,yes
16,2,4,122,57,7,20,5,yes,no
16,2,5,122,2,5,20,5,yes,yes
16,3,1,123,28,3,20,5,no,yes
16,3,2,123,92,5,20,7,no,no
16,3,3,123,73,3,20,9,yes,no
16,3,4,123,66,7,20,7,yes,no
16,3,5,123,57,7,20,5,yes,no
16,4,1,124,27,7,30,9,yes,yes
16,4,2,124,59,5,25,5,yes,no
16,4,3,124,37,3,20,7,no,yes
16,4,4,124,89,5,30,5,no,no
16,4,5,124,38,5,20,7,no,yes
16,5,1,125,11,5,20,7,yes,yes
16,5,2,125,28,3,20,5,no,yes
16,5,3,125,73,3,20,9,yes,no
16,5,4,125,35,5,30,5,no,yes
16,5,5,125,5,5,25,5,yes,yes
16,6,1,126,26,5,30,9,yes,yes
16,6,2,126,79,3,30,9,yes,no
16,6,3,126,44,5,30,7,no,yes
16,6,4,126,7,3,30,5,yes,yes
16,6,5,126,78,7,25,9,yes,no
16,7,1,127,25,3,30,9,yes,yes
16,7,2,127,73,3,20,9,yes,no
16,7,3,127,51,7,25,9,no,yes
16,7,4,127,33,7,25,5,no,yes
16,7,5,127,94,3,25,7,no,no
16,8,1,128,87,7,25,5,no,no
16,8,2,128,66,7,20,7,yes,no
16,8,3,128,15,7,25,7,yes,yes
16,8,4,128,20,5,20,9,yes,yes
16,8,5,128,79,3,30,9,yes,no
17,1,1,129,100,3,20,9,no,no
17,1,2,129,90,7,30,5,no,no
17,1,3,129,67,3,25,7,yes,no
17,1,4,129,18,7,30,7,yes,yes
17,1,5,129,28,3,20,5,no,yes
17,2,1,130,24,7,25,9,yes,yes
17,2,2,130,77,5,25,9,yes,no
17,2,3,130,19,3,20,9,yes,yes
17,2,4,130,75,7,20,9,yes,no
17,2,5,130,74,5,20,9,yes,no
17,3,1,131,89,5,30,5,no,no
17,3,2,131,90,7,30,5,no,no
17,3,3,131,51,7,25,9,no,yes
17,3,4,131,78,7,25,9,yes,no
17,3,5,131,84,7,20,5,no,no
17,4,1,132,74,5,20,9,yes,no
17,4,2,132,66,7,20,7,yes,no
17,4,3,132,16,3,30,7,yes,yes
17,4,4,132,12,7,20,7,yes,yes
17,4,5,132,59,5,25,5,yes,no
17,5,1,133,43,3,30,7,no,yes
17,5,2,133,60,7,25,5,yes,no
